age,total
0,3679
1,3679
2,3695.5
3,3695.5
4,3358.5
5,3358.5
6,3275.5
7,3275.5
8,3275.5
9,3275.5
10,3275.5
11,3275.5
12,3275.5
13,3275.5
14,2934.5
15,2934.5
16,2934.5
17,2934.5
18,3745.705882
19,3745.705882
20,3745.705882
21,3745.705882
22,3745.705882
23,3745.705882
24,3745.705882
25,3745.705882
26,3745.705882
27,3745.705882
28,3745.705882
29,3745.705882
30,3745.705882
31,3745.705882
32,3745.705882
33,3745.705882
34,3745.705882
35,3745.705882
36,1481.916667
37,1481.916667
38,1481.916667
39,1481.916667
40,1481.916667
41,1481.916667
42,1481.916667
43,1481.916667
44,1481.916667
45,1481.916667
46,1481.916667
47,1481.916667
48,1481.916667
49,1481.916667
50,1481.916667
51,1481.916667
52,1481.916667
53,1481.916667
54,1481.916667
55,1481.916667
56,1481.916667
57,1481.916667
58,1481.916667
59,1481.916667
60,1481.916667
61,113.725
62,113.725
63,113.725
64,113.725
65,113.725
66,113.725
67,113.725
68,113.725
69,113.725
70,113.725
71,113.725
72,113.725
73,113.725
74,113.725
75,113.725
76,113.725
77,113.725
78,113.725
79,113.725
80,113.725
81,113.725
82,113.725
83,113.725
84,113.725
85,113.725
86,113.725
87,113.725
88,113.725
89,113.725
90,113.725
91,113.725
92,113.725
93,113.725
94,113.725
95,113.725
96,113.725
97,113.725
98,113.725
99,113.725
100,113.725
