csid,age_class_part,sex,loc_stat,season,day,diary_type,part_educ_stat,part_job,age_class_cont,diary_keeper,shadow_present,shadow_num,fam_rel,share_hh,same_room,share_bed,ever_met,how_often,difficulties_filling_diary,difficulty_comments,record_all_contacts,record_contacts_comments,behaviour_change,behaviour_change_comments,other_comments,dok_year
1,4,"Male",1,0,1,"Picture","2","Student","Secondary","Participant",0,0,"Sibling","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no comment",2011
1,4,"Male",1,0,1,"Picture","2","Student","Secondary","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no comment",2011
1,4,"Male",1,0,1,"Picture","2","Student","Primary","Participant",0,0,"Sibling","Yes","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no comment",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Other relative","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Other relative","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Other relative","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Secondary","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Pre-School","Shadow",1,1,"Other relative","Yes","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Other relative","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Secondary","Shadow",1,1,"Other relative","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Other relative","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Other relative","Yes","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Older","Shadow",1,1,"Other relative","Yes","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Secondary","Shadow",1,1,"Other relative","Yes","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Secondary","Shadow",1,1,"Other relative","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Secondary","Shadow",1,1,"Other relative","Yes","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Primary","Shadow",1,1,"Other relative","Yes","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Secondary","Shadow",1,1,"Other relative","Yes","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Other relative","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Other relative","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Other relative","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
6,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Other relative","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Secondary","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Primary","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Pre-School","Shadow",1,1,"Parent","No","Yes","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Primary","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Adult","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Secondary","Shadow",1,1,"Sibling","Yes","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Primary","Shadow",1,1,"Sibling","Yes","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Pre-School","Shadow",1,1,"Parent","No","Yes","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Primary","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
14,3,"Female",1,1,1,"Picture","1","Pre-School","Adult","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
