csid,age_class_part,sex,loc_stat,season,day,diary_type,part_educ_stat,part_job,age_class_cont,diary_keeper,shadow_present,shadow_num,fam_rel,share_hh,same_room,share_bed,ever_met,how_often,difficulties_filling_diary,difficulty_comments,record_all_contacts,record_contacts_comments,behaviour_change,behaviour_change_comments,other_comments,dok_year,age_class_part_2,part_age_exact,part_id,part_age_est_min,part_age_est_max,part_age_cat,part_age_group,cnt_age,cnt_age_est_min,cnt_age_est_max,cnt_age_cat,cnt_age_group,cnt_age_exact,country
1,4,Male,1,0,1,Picture,2,Student,Secondary,Participant,0,0,Sibling,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no comment,2011,17.5,17.5,1,16,19,0-18,0-18,17.5,16,19,0-18,0-18,17.5,Kenya
1,4,Male,1,0,1,Picture,2,Student,Secondary,Participant,0,0,Parent,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no comment,2011,17.5,17.5,1,16,19,0-18,0-18,17.5,16,19,0-18,0-18,17.5,Kenya
1,4,Male,1,0,1,Picture,2,Student,Primary,Participant,0,0,Sibling,Yes,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no comment,2011,17.5,17.5,1,16,19,0-18,0-18,10.5,6,15,0-18,0-18,10.5,Kenya
6,2,Male,1,0,1,Picture,0,Unemployed,Adult,Shadow,1,1,Other relative,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,2.5,2.5,6,1,5,0-18,0-18,35.5,20,49,19-49,19-49,35.5,Kenya
6,2,Male,1,0,1,Picture,0,Unemployed,Adult,Shadow,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,2.5,2.5,6,1,5,0-18,0-18,35.5,20,49,19-49,19-49,35.5,Kenya
6,2,Male,1,0,1,Picture,0,Unemployed,Adult,Shadow,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,2.5,2.5,6,1,5,0-18,0-18,35.5,20,49,19-49,19-49,35.5,Kenya
6,2,Male,1,0,1,Picture,0,Unemployed,Secondary,Shadow,1,1,Sibling,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,2.5,2.5,6,1,5,0-18,0-18,17.5,16,19,0-18,0-18,17.5,Kenya
6,2,Male,1,0,1,Picture,0,Unemployed,Pre-School,Shadow,1,1,Other relative,Yes,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,2.5,2.5,6,1,5,0-18,0-18,2.5,1,5,0-18,0-18,2.5,Kenya
6,2,Male,1,0,1,Picture,0,Unemployed,Adult,Shadow,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,2.5,2.5,6,1,5,0-18,0-18,35.5,20,49,19-49,19-49,35.5,Kenya
6,2,Male,1,0,1,Picture,0,Unemployed,Adult,Shadow,1,1,Sibling,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,2.5,2.5,6,1,5,0-18,0-18,35.5,20,49,19-49,19-49,35.5,Kenya
6,2,Male,1,0,1,Picture,0,Unemployed,Secondary,Shadow,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,2.5,2.5,6,1,5,0-18,0-18,17.5,16,19,0-18,0-18,17.5,Kenya
6,2,Male,1,0,1,Picture,0,Unemployed,Adult,Shadow,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,2.5,2.5,6,1,5,0-18,0-18,35.5,20,49,19-49,19-49,35.5,Kenya
