age,total
0,1418
1,1412
2,1407
3,1404
4,1402
5,1400
6,1398
7,1395
8,1391
9,1385
10,1378
11,1371
12,1356
13,1331
14,1300
15,1267
16,1233
17,1199
18,1170
19,1142
20,1113
21,1085
22,1053
23,1014
24,972
25,931
26,890
27,858
28,842
29,836
30,829
31,823
32,812
33,792
34,766
35,741
36,717
37,691
38,664
39,635
40,607
41,578
42,550
43,524
44,500
45,476
46,452
47,428
48,405
49,382
50,360
51,339
52,319
53,301
54,285
55,269
56,254
57,240
58,226
59,213
60,200
61,188
62,177
63,166
64,156
65,146
66,137
67,127
68,116
69,105
70,95
71,85
72,76
73,67
74,59
75,51
76,43
77,37
78,33
79,29
80,26
81,23
82,21
83,18
84,14
85,11
86,9
87,7
88,5
89,4
90,2
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,0
